               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                 110,           0.0099777,             0.00374,                   0,             0.99194,             0.83672,             0.85156,             0.52522,             0.02669,           0.0019023,                   0,           0.0021647,           0.0021647,           0.0021647
                 111,           0.0093386,            0.003543,                   0,             0.99998,             0.83673,             0.86668,             0.51137,            0.026732,           0.0019122,                   0,           0.0021363,           0.0021363,           0.0021363
                 112,           0.0097048,           0.0035798,                   0,             0.99188,             0.83673,             0.87433,             0.54791,            0.025622,           0.0019172,                   0,           0.0021105,           0.0021105,           0.0021105
                 113,           0.0098688,           0.0037364,                   0,             0.99193,             0.83666,              0.8724,             0.55705,            0.025477,           0.0018724,                   0,           0.0020874,           0.0020874,           0.0020874
                 114,           0.0089167,            0.003403,                   0,                   1,             0.84352,              0.8777,             0.48072,            0.024288,           0.0019926,                   0,            0.002067,            0.002067,            0.002067
                 115,            0.009903,           0.0038331,                   0,             0.99999,             0.83673,             0.87238,             0.51928,            0.025236,           0.0019659,                   0,           0.0020492,           0.0020492,           0.0020492
                 116,           0.0092823,           0.0033799,                   0,             0.99997,             0.82993,             0.86546,             0.53831,            0.025578,            0.001966,                   0,           0.0020342,           0.0020342,           0.0020342
                 117,           0.0093563,           0.0037891,                   0,                   1,             0.83671,             0.87291,              0.5469,            0.023924,           0.0018892,                   0,           0.0020219,           0.0020219,           0.0020219
                 118,           0.0095552,           0.0034596,                   0,             0.99199,             0.84354,             0.87278,               0.506,            0.026058,           0.0019629,                   0,           0.0020123,           0.0020123,           0.0020123
                 119,           0.0094682,           0.0038159,                   0,                   1,             0.83672,               0.869,             0.47288,            0.024866,            0.002145,                   0,           0.0020055,           0.0020055,           0.0020055
